sentence,source,target,relation
 Girls are dancing on the lawn in swim suits.,Girls,swim,"['dancing', 'on']"
"""The leaves are yellow,"" he said to her, ""but still they dance in a south wind.",still,,"['said', 'to']"
"""We should have gone there.",We,,['gone']
"""You don't say!"" The old woman pursed up her lips in strong disapproval.",old,,['pursed']
"A piece of loose holly fell down from the window ledge above him on the exact middle of his head, and the jump that he gave was, considering his baldness, quite justifiable.",he,baldness,['fell']
"""Father, Sir Owen was famishing when he arrived.",when,Sir,['famishing']
 He continues to speak more while holding onto the rope and walking around with the dog.,He,around,['continues']
"""You won't dare believe it,"" he said sharply. He cleared his throat and stiffened into a more rigid posture.",sharply,,['cleared']
"It will engage in deadly battle with its own species, or with the mail-clad rhinoceros, and yet will run away at the barking of a little dog.",It,little,"['engage', 'in', 'deadly']"
"To him your story has been passed on by other spies in England, and he passed it on to me.""",other,,['passed']
 The boy uses the soap dispenser again.,boy,soap,['uses']
"Elfride had turned from the table towards the fire and was idly elevating a hand-screen before her face, when she heard the click of a little gate outside.",when,hand,"['turned', 'from']"
"""I'll do it!"" And he lay down on the ground and went to sleep.",he,sleep,['lay']
 He drops the bar on the ground in front of him.,He,him,['drops']
In the centre of the room was a table richly laid out.,,room,['was']
 The man then begins decorating the tree as well as others.,man,then,['begins']
"She started from her chair, and blushed deeply as she moved towards me.",deeply,,"['started', 'from']"
 A man and a woman walk onto the dance floor and dance.,,dance,"['walk', 'onto']"
 She continues hanging more wall paper on the wall and ensures that it glues on tight and securely on the wall surface without creases.,more,wall,['continues']
 The man continues talking and then shovels out some weeds and dirt around the tree.,man,then,['continues']
Two people are on a boat getting ready to dive into the ocean.,Two,,"['are', 'on']"
  They start by making smoothies and read ingredients from coconut sugar.,They,coconut,"['start', 'by']"
"Indeed, the whole party, travelling in a strange land, speaking their strange tongue, gave a curious impression of utter alienty.",whole,,['gave']
"She had a great basket full of socks and stockings, big and little, ready to send for sale down to the town.",She,down,['had']
They sat and talked long and the developments were perhaps more unusual than she had imagined they might be.,they,,['sat']
She placed her hand upon the ugly head.,She,ugly,['placed']
She lifted the bushes and started toward the entrance.,She,entrance,['lifted']
 A news woman speaks about the new movie.,news,woman,"['speaks', 'about']"
The bull then runs over a man and the other tries to help but he ends up on the ground.,he,ground,"['runs', 'over']"
"At last, out of the door she went.",she,door,"['out', 'of']"
 The person continues riding along in the canoe.,person,canoe,['continues']
An intro is shown of maps and a house close up.,intro,maps,"['shown', 'of']"
"""Perhaps it has fallen off her head and she doesn't know it,"" Aunt Polly suggested.",Aunt,Polly,['suggested']
A view is shown of a man removing a paddle from a fence.,view,fence,"['shown', 'of']"
 Another man holds his hand up next to the cups.,man,next,['holds']
"Turning over, she discovered TT reared up before the window, her forepaws on the sill, big cat-head outlined against the star-hazed night sky, staring fixedly down into the garden.",big,cat,['discovered']
 The lady gives a peace sign and waves.,lady,peace,['gives']
"""I've tried both and quite agree with him,"" laughed Mac, and skimming down another page, gave her a paragraph here and there.",I,paragraph,['laughed']
 The man is shown near a grill.,man,grill,"['shown', 'near']"
You shall instructions receive from time to time.,instructions,time,"['receive', 'from']"
" Multiple vaulters attempt to vault, one after another, some successfully and some not.",Multiple,,['attempt']
"With eyes fixed in front he turned his head from right to left, from left to right, as if inspecting a long row of astute skippers.--""'Ee said 'ee would brain me!"" cried Donkin in a heartrending tone.",astute,,['said']
A woman is shown speaking to the camera and showing various shots of children sitting in a chair and performing on tv.,woman,various,['shown']
The miner caught his sleeve in alarm.,miner,alarm,['caught']
