sentence,source,target,relation
These were instead performed by professional voice actors.,These,professional,"['performed', 'by', 'professional']"
He was born at Ohlau in Silesia.,He,Silesia,"['born', 'at']"
Play concerto music by Nicholaus Arson.,,Nicholaus,['Play']
Garofalo left in midseason replaced by Molly Shannon.,Garofalo,Molly,"['left', 'in']"
Then he rose and crossed again to the settee.,Then,,['rose']
NeoLiberalism is aggressive Capitalism.,NeoLiberalism,,"['is', 'aggressive']"
A group of people are doing aerobics in the ocean.,group,ocean,['doing']
Two men are looking toward the ground while one is wearing gloves and holding a tool.,one,tool,"['looking', 'toward']"
Students receive admissions decisions approximately a few months later.,Students,admissions,['receive']
Flat feet were formerly a physicalhealth reason for servicerejection in many militaries.,Flat,,['were']
Egg yolk comes out of an egg after the egg is broken by one hand.,egg,one,"['comes', 'out']"
Hawley Middle and Creedmoor Elementary.,,,['Middle']
It was extremely popular.,It,,['was']
what is the forecast for Uganda at Yom Haatzmaut for chilly weather close from .,forecast,chilly,['is']
The genus name is from Ancient Greek takhus fast and bapto to sink under.,genus,name,"['is', 'from']"
Two men box.,,,['box']
Its an auspicious day.,,,['day']
A dog coming out of a large yellow tube.,,yellow,['dog']
A pox upon me for a clumsy thing.,,clumsy,"['pox', 'upon']"
This is visible for many miles.,This,many,"['is', 'visible']"
What was she to do.,she,was,['do']
The group visited Graceland Elvis Presleys estate in Memphis.,group,Elvis,['visited']
They are depicted as a whalelike species.,They,whalelike,"['depicted', 'as']"
Are you sure youre comfortable.,you,,['Are']
Two people are jumping rope outside.,Two,,['jumping']
He has one gold medal and one silver medal from the Winter Olympics.,He,one,['has']
A woman in a black shirt getting emotional while talking into a microphone.,,black,"['woman', 'in']"
It is found in Brazil and Colombia.,It,Brazil,"['found', 'in']"
Then activity in other states provided an additional impetus for repeal.,Then,,['provided']
He concludes that Yancy must have stolen it.,Yancy,it,['concludes']
After being rejected by the Abbey Theatre The Listowel Drama Group produced the play.,Listowel,Drama,['produced']
A man rock climbs.,man,rock,['climbs']
The alarm clock was set for twenty past three.,alarm,clock,"['set', 'for']"
Two girls are sitting on a bench outside and one of them is checking her cellphone.,outside,,"['sitting', 'on']"
Fisherman with his daily catch on display his product is fresh.,Fisherman,daily,"['is', 'fresh']"
The documentation for Keras is available in Japanese.,documentation,Japanese,"['is', 'available']"
These include Fajar Shopping Centre Greenridge Shopping Centre and the Bangkit Shopping Centre.,These,Greenridge,['include']
Overnights are automated with no disc jockey present.,Overnights,disc,"['automated', 'with']"
Programs at the college have moved to cover popular music theatre film and communication.,Programs,popular,['moved']
Johns sister Jane Slidell was married to Matthew C Perry.,sister,Jane,"['was', 'married']"
I lost them last Thursday.,I,them,['lost']
Will it be warm in Jenners Kansas.,it,Jenners,"['be', 'warm']"
Transamericas key businesses are life insurance investments and retirement.,key,,['are']
He is a principal architect of the BlogBridge Newsreader software.,He,principal,['is']
I salute those judges who have refused to take the oath.,who,oath,['salute']
The alternating colors of the wheel symbolize that era of change.,alternating,,['symbolize']
He was just a few weeks short of his fortyeighth birthday.,He,fortyeighth,['was']
I hasten to add this is not the first time.,I,this,['hasten']
A woman wearing a red tank top is cutting a hamburger in half.,woman,red,['cutting']
There are fiftythree fish species in the basin none of them endemic.,fiftythree,fish,"['are', 'fiftythree']"
For occupying the wrong parking lot he had to pay a fine.,wrong,parking,['For']
A shirtless man in white shorts is holding a wire.,shirtless,,['holding']
All who went there were happy at having done so.,who,,"['were', 'happy']"
He also had some early training in Kalaripayattu the martial art of Kerala.,He,martial,['had']
They were joined by Christians from Cyprus and Cyrene who migrated to Antioch.,who,Antioch,"['joined', 'by']"
Tests such as Phalens test involve palmarflexion at the wrist.,Tests,such,['involve']
The Heimlich manoeuvre is a lifesaving first aid technique.,Heimlich,manoeuvre,['is']
Electricity in Palm Desert is served by Southern California Edison.,Electricity,Southern,"['served', 'by']"
A crowd of villagers in colorful hats surrounding packages made from an old truck in a jungle.,,old,"['crowd', 'of']"
Because of his revelations Boukhari had many problems with the justice in Morocco.,Boukhari,many,"['had', 'many']"
Some friskets are also solventproof manufactured for use with solventreduced and based Urethanes.,friskets,solventreduced,['solventproof']
This mode becomes clearer in the localised form when the hypotheses are explicit.,when,,"['becomes', 'clearer']"
France was also unable to import the inferior German graphite pencil substitute.,France,German,['was']
An old man in orange is holding a cane and looking at a younger male.,old,,['holding']
Meanwhile he focused on turning around Anchor Brewings fortunes.,Meanwhile,,"['focused', 'on']"
One of the notable feature of the language is its syntactic ergativity.,One,notable,['is']
The British Overseas Territories and Gibraltar are not included.,British,Overseas,['included']
Someone on a laptop looks at someone standing by a door.,Someone,door,"['looks', 'at']"
