sentence,source,target,relation
composite image of smiling students all geared up for college,,composite,"['image', 'of']"
a group of soldiers provide security,group,security,['provide']
this beautiful waves ring is crafted in platinum and is set with blue sapphires and white diamonds .,beautiful,waves,"['crafted', 'in']"
A train on traveling on tracks between trees and hills.,,trees,"['train', 'on']"
revolve wind turbines in a misty field .,,misty,['revolve']
"Compact bathroom with sink, shower, counter, and mirror.",,Compact,"['bathroom', 'with']"
iguana resting in a tree,,tree,['iguana']
devotee with pierced mouth at the temple during festival,,pierced,"['devotee', 'with', 'pierced']"
mother and her calves sheltering in the corner of a pasture,,pasture,['mother']
close up image of green palms with the beach and a building in the distance,,green,['close']
A plate of salad that includes strawberries on the side.,that,side,"['plate', 'of']"
tracking shot of a beautiful red flower in botanical gardens,,botanical,"['shot', 'of']"
a donut with thick white frosting on a green papaer towel,,green,"['donut', 'with', 'thick']"
A passenger jet flies low as it approaches landing.,low,,"['flies', 'low']"
sketch of a man riding a motorbike,,motorbike,"['sketch', 'of']"
young boy begging for food from monks who have been given food at the daily alms giving ceremony,young,,['boy']
map from which users can select the district in which they want to browse hospitals .,they,hospitals,"['map', 'from']"
coach is given a guard of honour from players,coach,players,['given']
living room with bay windows overlooking the roofs of the city .,,bay,"['room', 'with']"
england meet local footballers ahead a football match as part a charity event,england,ahead,"['meet', 'local']"
tourists walking in the natural trail,,natural,['tourists']
A female in dark shorts is pushing her mode of transportation down the road.,female,dark,['pushing']
stained wooden slanted ceiling adds to the rustic charm of the cozy bedroom,slanted,,"['adds', 'to']"
clouds and sun on mountain in the evening,,evening,['clouds']
tourists descend from the snowy mountains,tourists,snowy,"['descend', 'from']"
A parked Air Force plane by several blue cones. ,,blue,"['plane', 'by', 'several']"
modern mirrored building and fast moving white clouds on the blue sky,,blue,['building']
silhouette of a couple at cafe,,cafe,"['silhouette', 'of']"
great idea for a garden shed or retreat made from pallets .,,great,"['idea', 'for']"
A herd of cattle grazing on grass next to a lake.,,next,"['herd', 'of']"
calendar in language with public holidays the country in year .,,public,"['calendar', 'in']"
wild black bear with cubs foraging in the mountains during autumn,,black,"['bear', 'with']"
remove screws securing the motherboard to the upper case,,upper,['remove']
write the equation of each line in the given form .,,given,['write']
type of place of worship in headquarters to the church on a brilliant winter s day,,brilliant,"['type', 'of']"
furniture for studio apartment ways to divide a studio apartment into multiple rooms,,multiple,"['furniture', 'for']"
A building with a bell at the top.,,top,"['building', 'with']"
image of a statue in the public gardens,,public,"['image', 'of']"
Four boats sit along a harbor inside of a city. ,Four,,"['sit', 'along']"
jackfruit the heaviest fruit in the world,,heaviest,['jackfruit']
brand to launch automobile model,,automobile,['brand']
soldiers stand guard at a checkpoint on the way to the district .,soldiers,district,['stand']
roses grow on the exterior of this holiday cottage,roses,holiday,"['grow', 'on']"
A construction worker covered in pins adjusts his helmet.,construction,worker,['adjusts']
young parents unloading groceries from shopping cart to the back of the car .,,young,['parents']
model slowly opens his eyes .,model,slowly,['opens']
firefighters light a prescribed burn managed by award winner,firefighters,prescribed,['light']
Two students study on two separate bench tables,Two,,"['study', 'on']"
close up of a daisy in a garden in summer,,summer,"['close', 'up']"
keep it slightly left to avoid large bunkers on the right side of the third green .,,third,['keep']
socialite wore a white gown to her rehearsal dinner .,socialite,white,['wore']
pan around a wind turbine with sun and clouds in the sky,,wind,"['pan', 'around']"
carvings in the wall of ruins,,ruins,"['carvings', 'in']"
working cranes waiting for the next container ship to load or unload .,next,container,['cranes']
demonstrators gather at the site of a planned speech by film writer,demonstrators,planned,"['gather', 'at']"
railway station on a sunny winter day with a modern high speed passenger train awaiting departure,,high,"['station', 'on']"
georgian structure built is located,georgian,structure,['located']
"Six plastic containers full of mixed vegetables, including broccoli",,mixed,"['containers', 'full']"
boheme dining chairs in taupe regenerated leather upholstery with a dining table,,regenerated,['dining']
i spent a few days in the extreme cold exploring national park .,i,national,['spent']
The cake has been decorated with figurines of small people.,cake,small,"['decorated', 'with']"
posters like this are currently on show as part of a special exhibition,posters,special,['are']
our dining table is made from reclaimed pine and measures and comes with a matching bench .,dining,table,"['made', 'from']"
person bows his head to remember fallen soldiers at the service .,person,fallen,['bows']
the sun coming out from behind a cloud and flaring to fill the frame with bright white light,,white,['sun']
A woman standing at a counter in an empty restaurant,,empty,['woman']
a city will be the first city to host event if it is awarded the edition,first,host,['be']
add the onion and ginger and cook on a medium heat,,medium,['add']
A car is zooming off with fire coming out of its exhaust pipe.,car,exhaust,['zooming']
palm tree swaying in the wind of a storm coming from the mountains,,palm,['tree']
"Now, someone stares down at a selections ring in the palm of her hand.",Now,,['stares']
