text,SRC,REL,TGT
overground train moving in the city and arriving to the station .,train,moving,city
automobile make adds automobile model,make,adds,model
road leading to a small village outside english civil parish,road,leading,village
hundreds of trees are covered with colorful christmas lights and reflected on the surface of this pond,hundreds,of,trees
players sing their national anthem prior a match as part .,players,sing,anthem
wife arrives with their twin daughters and greets magazine editor during day,wife,arrives,daughters
villa with pool is surrounded by a carefully tended garden,villa,with,pool
doctors in a meeting at hospital,doctors,in,meeting
cities developed around the mouth because of its natural harbor .,cities,developed,mouth
olympic athlete makes a diving save against country in the first match .,athlete,makes,save
tourist attraction ... with a neat wall protecting the lone cypress tree,attraction,with,wall
red deer in the highlands waiting on the storm to pass,deer,in,highlands
Two motorcyclists turning a corner on a country road.,motorcyclists,turning,corner
A cat is running down a dark alley.,cat,running,alley
fans squared up to stewards who struggled to contain the crowd,fans,squared,stewards
a tree seemingly grows onto the ceiling in this whimsical mural gracing the master bathroom .,tree,grows,ceiling
politician with leaders after an event to commemorate international,politician,with,leaders
A man is playing blowing into bagpipes whilst another man tests the tone with an electronic tuner.,man,playing,bagpipes
a poster of politician is pasted on the wall .,poster,of,politician
"Brightly colored blue, yellow and white train coming down tracks near a row of trees.",train,colored,tracks
The refugees are sitting with their children try to cook in the fire.,refugees,sitting,children
animated map showing location and the network of roads through mountain range .,map,animated,location
participates in an experiment in his laboratory as students look on .,students,participates,experiment
my bouquet with a piece of beaded lace from my wedding dress,bouquet,with,piece
the bell hangs on the beam of the temple .,bell,hangs,beam
texture and colors inside an orchid flower,texture,inside,flower
the smile that makes millions of hearts melt,smile,makes,millions
"Large pizza covered in pepperoni, olives, peppers, onion, and mushrooms.",pizza,covered,pepperoni
Two different types of pizza cooling off on a oven.,types,of,pizza
soccer goalkeeper dives to his right to make the save during training,goalkeeper,dives,right
A towel hanging on the shower curtain rail in the bathroom. ,towel,hanging,rail
a student celebrates his graduation on friday morning .,student,celebrates,graduation
a living room with a couch and a chair for seating,room,with,couch
soldiers run towards a helicopter as they are extracted after completing,soldiers,run,helicopter
A man cutting fish for sale.,man,cutting,fish
map with names of different regions and sites mentioned in the text,map,with,names
a video showing clouds moving over palm trees on beach .,video,showing,trees
this bridge connects denmark and country .,bridge,connects,denmark
matches on a row with one burned,matches,on,row
yellow red purple orchids flowers on a stem in a garden,purple,on,stem
a wide open yellow field with a big sky and flowers swaying in the breeze,field,with,sky
Cross country skiers dressed as candy skiing in a group,skiers,dressed,skiing
rays of sunlight break through the clouds over the pier,rays,of,sunlight
sheepdog working a flock of sheep,sheepdog,working,flock
The small note stuck to the wall is being written on by a woman.,note,stuck,wall
football player in action during session before the matches against country do interest .,player,in,action
a long tray filled with a lot of fruits and veggies on it ,tray,filled,lot
loading of coal in a coal mine .,loading,of,coal
elk bask in the field while the clouds grow increasingly ominous .,bask,in,field
the largest container ship to ever make port unloads its cargo .,ship,make,cargo
the embassy is planning to hold an event dedicated to cuisine,embassy,planning,event
view with the countryside shrouded in mist and cloud .,view,with,countryside
a canola field that is attracting attention by tourists for its beauty .,field,attracting,attention
"A bathroom has a toilet, sink, and door in it.",bathroom,has,toilet
A large tower has a clock on top for the city to see.,tower,has,clock
A soldier shoots a rifle.,soldier,shoots,rifle
A big clock on top of a building in a city,clock,on,top
A kid is about to crawl through some grass.,kid,through,grass
inward waves instantly frames the face and even creates an illusion of more volume .,waves,frames,face
celebrity looks stunning in a yellow dress,celebrity,looks,dress
the characteristic tram proceed towards tourist attraction a central district of the old city,tram,proceed,attraction
church with bells on the top located was built,church,with,bells
"A few giraffes at a zoo, two of which seem to be nuzzling one another",giraffes,at,zoo
A refrigerator that is covered in magnets from top to bottom.,refrigerator,covered,magnets
A castle like tower with a clock reaches into the blue sky.,castle,like,tower
a stream flows next to one of the many trails .,stream,flows,trails
freight train rounds a bend in hills above us state,train,rounds,bend
happy family have fun lying on the grass .,family,have,fun
Hot dogs wrapped with bacon and cheese are on buns. ,dogs,wrapped,bacon
militants have reportedly destroyed the arch of triumph in the ancient city of dating,militants,destroyed,arch
A shower stall with bath robes hanging on the wall. ,stall,with,robes
protected site covers acres of land and is located a little west .,site,protected,acres
time lapse with slow zoom into steam rising from cooling towers at a coal fired power station,lapse,with,zoom
a little church with snow and blue sky in winter,church,with,snow
A bathroom features a toilet and a pipe.,bathroom,features,toilet
the face of a king carved in stone on the facade of a building,face,of,king
time lapse of fast moving clouds over a foreground of trees,lapse,of,clouds
politician and his wife arrive for the premiere of the festival .,politician,arrive,premiere
students cross a bridge in the rainforest,students,cross,bridge
portrait of cute grandparents using tablet while relaxing at home in the stylish living room .,portrait,of,grandparents
person performs as models walk the runway during the bet,person,performs,runway
tile adds interest and color to a minimal bathroom,tile,adds,interest
farmer in the countryside using a traditional wooden plough pulled by oxen,farmer,in,countryside
a city which includes rainforest and zip lining as well as an individual male,city,includes,lining
may the peace and love of deity surround you .,peace,of,deity
biological species sniffing the base of birch trees in a colorful autumn forest at sunrise,species,sniffing,base
poster illustrating the benefits of children spending more time playing in nature,poster,illustrating,benefits
police block off a sidewalk while responding to a report of an explosion on monday .,police,block,sidewalk
people browsing and buying from market stalls at festival,people,browsing,stalls
a mosque is a place of worship for followers of religion,mosque,of,worship
an child is given medicine at a makeshift medical clinic .,child,given,medicine
a fairy is a mythical creature of folklore and mystery dressed the colors of summer,fairy,of,folklore
a soldier stands guard at an illegal refinery being demolished by armed force under the ongoing,soldier,stands,guard
Skateboarder riding a rail at the park,Skateboarder,riding,rail
buildings and castle against the sky,buildings,against,sky
a woman collecting daffodils for daffodil day in a field .,woman,collecting,daffodils
A US Army plane parked in am airport.,plane,parked,airport
golden emblem with icon and ignore the noise and follow your own text inside,emblem,with,icon
politician relaxes on a bench in his garden,politician,relaxes,bench
A train with a colorful tagged front and seemingly white sides is coming around the bend.,train,with,front
alike planet in deep space with an orbiting moon,planet,in,space
the sun hiding behind clouds,sun,hiding,clouds
A baby elephant walks between two adult elephants in an exhibit.,elephant,walks,elephants
A few students are trying to pass their math exam.,students,trying,exam
black and white image with trees in the foreground against a dramatic sky filled with clouds,image,with,trees
Two young men and a woman are looking for vegetables to buy.,men,looking,vegetables
textile combined with a maxi dress and black boots,textile,combined,boots
this home owned by people was built around a cottage .,home,owned,people
young mother showing to her baby the autumn colored leaves,mother,showing,baby
a city a dredge ship reclaiming land for the new harbour,city,reclaiming,land
the beach huts next the sea on the coast are shrouded in mist on a cold december morning,beach,next,sea
looking back towards filming location at night with the city lighting up the sky,city,looking,location
a city is a town and comune of province in the region,city,of,province
route overlaid onto a map .,route,overlaid,map
A lady in black is performing at the subway station.,lady,in,station
Group of zebras and gazelles grazing on the grass.,Group,of,zebras
a mother and daughter playing with a beach towel,mother,playing,towel
"A plate topped with pasta, meat and broccoli.",plate,topped,pasta
